,data,percent,player,rank
149,88,0.1,PandaTV1063474,0
150,1128,0.1,PandaTV1063474,0
151,110369.4,0.1,PandaTV1063474,0
152,506,0.1,PandaTV1063474,0
153,6.93,2.5,Ddeupo,81
154,54.84,1.4,Ddeupo,1
155,51870.54,0.8,Ddeupo,28011
156,31,4.7,Ddeupo,99407
157,17,0.1,Ddeupo,28
158,0.59,7.0,Ddeupo,1353
159,29,0.3,Ddeupo,5272
160,93.55,7.0,Ddeupo,1
161,14,17.0,Ddeupo,161309
162,2047,0.1,Ddeupo,40
163,2053.21,0.1,Ddeupo,832
164,12,0.7,Ddeupo,0
165,407.13,9.0,Ddeupo,2688
166,0.29,36.0,Ddeupo,70353
167,3.39,13.0,Ddeupo,4817
168,3.13,10.0,Ddeupo,3006
169,7801.12,1.3,Ddeupo,55
170,0.29,19.0,Ddeupo,16086
171,0.03,6.0,Ddeupo,38909
172,0.03,16.0,Ddeupo,77250
173,1673.24,3.5,Ddeupo,4
174,0.94,7.0,Ddeupo,1
175,97,0.9,Ddeupo,708
176,39,0.2,Ddeupo,3416
177,1,14.0,Ddeupo,62710
178,1,17.0,Ddeupo,77250
179,9,7.0,Ddeupo,87545
180,0.09,58.0,Ddeupo,152821
181,2,null,Ddeupo,9410
182,1,7.0,Ddeupo,38909
183,17,8.0,Ddeupo,96697
184,74,0.7,Ddeupo,13031
185,8,12.0,Ddeupo,32226
186,2,null,Ddeupo,25653
187,0,100.0,Ddeupo,0
188,4,8.0,Ddeupo,119299
189,1991.58,2.3,Ddeupo,22488
190,1991.58,2.3,Ddeupo,22488
191,1673.24,3.5,Ddeupo,8
192,1725,0.1,Ddeupo,28
193,78621.05,1.0,Ddeupo,36110
194,163213.8,0.2,Ddeupo,4167
195,241834.8,0.3,Ddeupo,10325
196,2536.16,10.0,Ddeupo,1729
197,5264.96,1.3,Ddeupo,109
198,311.1,6.0,Ddeupo,28637
199,105,0.9,Ddeupo,33664
200,9,1.4,Ddeupo,41544
201,126,0.4,Ddeupo,11264
202,12621.17,0.8,Ddeupo,22354
203,46,1.4,Ddeupo,36204
204,4.78,6.0,supue-saye,1598
205,14.71,11.0,supue-saye,7427
206,70643.52,0.3,supue-saye,6137
207,68,0.6,supue-saye,13939
208,10,0.2,supue-saye,87
209,0.36,12.0,supue-saye,15800
210,28,0.3,supue-saye,3089
211,41.18,24.0,supue-saye,17372
212,58,0.8,supue-saye,19310
213,2014,0.1,supue-saye,49
214,2014.3,0.1,supue-saye,1096
215,48,0.6,supue-saye,0
216,507.66,6.0,supue-saye,1070
217,2.28,1.8,supue-saye,746
218,2.46,24.0,supue-saye,24676
219,4.07,6.0,supue-saye,1263
220,3305.2,29.0,supue-saye,29967
221,0.28,20.0,supue-saye,18635
222,0,100.0,supue-saye,38909
223,0.1,9.0,supue-saye,6007
224,1038.88,27.0,supue-saye,18977
225,0.41,24.0,supue-saye,16983
226,277,0.1,supue-saye,11
227,10,4.5,supue-saye,54755
228,5,0.2,supue-saye,444
229,7,0.1,supue-saye,420
230,155,0.1,supue-saye,212
231,0.56,6.0,supue-saye,1634
232,2,null,supue-saye,9410
233,0,100.0,supue-saye,38909
234,94,0.1,supue-saye,366
235,94,0.4,supue-saye,3512
236,15,0.7,supue-saye,1611
237,3,null,supue-saye,4417
238,0,100.0,supue-saye,0
239,8,0.4,supue-saye,19451
240,2043.32,1.2,supue-saye,8852
241,2043.32,1.2,supue-saye,8852
242,1038.88,27.0,supue-saye,22449
243,1645,0.1,supue-saye,87
244,145645.3,0.2,supue-saye,3068
245,79108.02,0.8,supue-saye,17599
246,224753.3,0.3,supue-saye,6668
247,2141.84,17.0,supue-saye,7796
248,1163.35,40.0,supue-saye,72706
249,441.83,1.0,supue-saye,5919
250,167,0.3,supue-saye,5923
251,19,0.2,supue-saye,3660
252,174,0.2,supue-saye,2036
253,34521.17,0.1,supue-saye,550
254,180,0.1,supue-saye,427
255,16.33,0.4,ctycj,6
256,62.5,1.4,ctycj,5
257,26206.76,3.7,ctycj,68415
258,16,15.0,ctycj,152604
259,10,0.2,ctycj,62
260,0.71,6.0,ctycj,1115
261,14,1.2,ctycj,22573
262,87.5,7.0,ctycj,25
263,6,44.0,ctycj,161315
264,2004,0.1,ctycj,58
265,2003.88,0.1,ctycj,1233
266,36,0.7,ctycj,0
267,844.29,1.2,ctycj,40
268,3.31,0.9,ctycj,200
269,2.56,22.0,ctycj,20900
270,6.12,2.5,ctycj,129
271,5510.04,7.0,ctycj,1860
272,0.5,10.0,ctycj,866
273,0.06,4.1,ctycj,5103
274,0,100.0,ctycj,77250
275,1637.92,4.3,ctycj,31
276,0.88,7.0,ctycj,25
277,98,0.9,ctycj,207
278,10,4.5,ctycj,54755
279,0,100.0,ctycj,62710
280,0,100.0,ctycj,77250
281,53,0.4,ctycj,2282
282,0.54,6.0,ctycj,1893
283,1,12.0,ctycj,24168
284,1,6.0,ctycj,11883
285,6,33.0,ctycj,88545
286,6,43.0,ctycj,129565
287,12,2.8,ctycj,6332
288,3,4.8,ctycj,4417
289,0,100.0,ctycj,0
290,5,3.5,ctycj,65272
291,2008.82,1.8,ctycj,12482
292,2008.82,1.8,ctycj,12482
293,1637.92,4.3,ctycj,52
294,1665,0.1,ctycj,62
295,50029.38,2.9,ctycj,54194
296,38131.26,4.0,ctycj,68520
297,88160.64,3.2,ctycj,61328
298,3126.84,4.5,ctycj,279
299,2383.2,13.0,ctycj,10753
300,406.69,1.6,ctycj,9071
301,41,9.0,ctycj,96660
302,8,1.9,ctycj,33125
303,82,1.0,ctycj,19496
304,13508.64,0.7,ctycj,11076
305,62,0.8,ctycj,11820
306,1.33,40.0,kidd419,71005
307,25,7.0,kidd419,1703
308,78207.5,0.2,kidd419,4630
309,60,0.9,kidd419,20148
310,15,0.1,kidd419,43
311,0.41,12.0,kidd419,13655
312,37,0.2,kidd419,1312
313,61.67,11.0,kidd419,2117
314,45,1.7,kidd419,34215
315,2018,0.1,kidd419,67
316,2018,0.1,kidd419,1332
317,67,0.6,kidd419,0
318,129.31,56.0,kidd419,108590
319,0.18,47.0,kidd419,98405
320,2.08,30.0,kidd419,46392
321,1,56.0,kidd419,98688
322,4411.03,14.0,kidd419,7357
