,data,percent,player,rank
143,154904,0.1,G-6-222449,1370
144,265439.6,0.1,G-6-222449,1960
145,2570.59,11.0,G-6-222449,1138
146,3602.42,4.5,G-6-222449,921
147,620.43,0.2,G-6-222449,584
148,42,6.0,G-6-222449,35135
149,0,100.0,G-6-222449,1
150,150,0.2,G-6-222449,2059
151,27694.25,0.1,G-6-222449,672
152,0,100.0,G-6-222449,1
153,12.86,0.4,jason456454,53
154,50,2.8,jason456454,51
155,66101.63,0.3,jason456454,4054
156,42,2.6,jason456454,21917
157,21,0.1,jason456454,3
158,0.7,7.0,jason456454,2145
159,30,0.1,jason456454,543
160,71.43,7.0,jason456454,77
161,21,10.0,jason456454,60558
162,2655,0.1,jason456454,3
163,2665.13,0.1,jason456454,7
164,2,0.2,jason456454,0
165,706.52,1.6,jason456454,85
166,3.24,0.6,jason456454,220
167,0.69,65.0,jason456454,75793
168,6.43,1.7,jason456454,87
169,6432.8,3.6,jason456454,314
170,0,100.0,jason456454,1
171,0,100.0,jason456454,29063
172,0,100.0,jason456454,35740
173,1573.85,7.0,jason456454,102
174,0.71,7.0,jason456454,77
175,270,0.1,jason456454,4
176,8,0.5,jason456454,3286
177,0,100.0,jason456454,35740
178,0,100.0,jason456454,35740
179,136,0.1,jason456454,319
180,0.5,10.0,jason456454,1629
181,2,2.7,jason456454,3279
182,0,100.0,jason456454,29063
183,18,4.2,jason456454,12709
184,270,0.1,jason456454,104
185,16,0.3,jason456454,563
186,4,1.0,jason456454,802
187,0,100.0,jason456454,0
188,4,18.0,jason456454,58402
189,1958.6,8.0,jason456454,19111
190,1958.6,8.0,jason456454,19111
191,1573.85,7.0,jason456454,158
192,2182,0.1,jason456454,3
193,123355.8,0.2,jason456454,2808
194,146821.6,0.1,jason456454,1589
195,270177.4,0.1,jason456454,1872
196,2937.04,7.0,jason456454,350
197,3495.75,4.8,jason456454,1061
198,570.11,0.2,jason456454,833
199,29,11.0,jason456454,53926
200,0,100.0,jason456454,1
201,147,0.2,jason456454,2155
202,29673.9,0.1,jason456454,560
203,0,100.0,jason456454,1
204,7.25,1.8,MYLCCK,252
205,27.14,4.4,MYLCCK,419
206,173930.7,0.1,MYLCCK,168
207,140,0.1,MYLCCK,1226
208,38,0.1,MYLCCK,8
209,0.5,12.0,MYLCCK,4119
210,76,0.1,MYLCCK,33
211,54.29,9.0,MYLCCK,692
212,102,0.2,MYLCCK,3191
213,2649,0.1,MYLCCK,6
214,2650.32,0.1,MYLCCK,13
215,6,0.2,MYLCCK,0
216,589.03,2.9,MYLCCK,244
217,3.66,0.5,MYLCCK,156
218,0.72,64.0,MYLCCK,76562
219,5.28,3.0,MYLCCK,264
220,4995.74,10.0,MYLCCK,1596
221,0,100.0,MYLCCK,1
222,0,100.0,MYLCCK,29063
223,0.02,14.0,MYLCCK,32374
224,1242.36,17.0,MYLCCK,2205
225,0.54,9.0,MYLCCK,692
226,739,0.1,MYLCCK,1
227,16,0.1,MYLCCK,957
228,3,0.8,MYLCCK,3282
229,3,0.7,MYLCCK,3282
230,512,0.1,MYLCCK,7
231,0.69,2.8,MYLCCK,502
232,30,0.1,MYLCCK,2
233,0,100.0,MYLCCK,29063
234,84,0.1,MYLCCK,15236
235,186,0.1,MYLCCK,1129
236,16,0.3,MYLCCK,563
237,3,3.6,MYLCCK,2329
238,0,100.0,MYLCCK,0
239,10,0.1,MYLCCK,4904
240,1992.99,3.0,MYLCCK,8535
241,1992.99,3.0,MYLCCK,8535
242,1242.36,17.0,MYLCCK,2991
243,2166,0.1,MYLCCK,8
244,413967.9,0.1,MYLCCK,20
245,285436.2,0.1,MYLCCK,290
246,699404.1,0.1,MYLCCK,82
247,2956.91,7.0,MYLCCK,348
248,2038.83,16.0,MYLCCK,6674
249,715.13,0.1,MYLCCK,287
250,101,0.6,MYLCCK,8963
251,0,100.0,MYLCCK,1
252,234,0.1,MYLCCK,709
253,82464.27,0.1,MYLCCK,18
254,0,100.0,MYLCCK,1
255,7.89,1.6,xuhaoming999,177
256,31.87,4.3,xuhaoming999,247
257,130505,0.1,xuhaoming999,493
258,91,0.3,xuhaoming999,4263
259,29,0.1,xuhaoming999,8
260,0.51,12.0,xuhaoming999,4128
261,57,0.1,xuhaoming999,75
262,62.64,8.0,xuhaoming999,235
263,62,0.8,xuhaoming999,10691
264,2637,0.1,xuhaoming999,10
265,2649.58,0.1,xuhaoming999,11
266,1,0.3,xuhaoming999,0
267,568.42,3.2,xuhaoming999,236
268,2.81,1.2,xuhaoming999,318
269,0.73,64.0,xuhaoming999,72942
270,5.37,3.0,xuhaoming999,209
271,5053.74,9.0,xuhaoming999,1495
272,0,100.0,xuhaoming999,1
273,0,100.0,xuhaoming999,29063
274,0,100.0,xuhaoming999,35740
275,1434.12,10.0,xuhaoming999,351
276,0.63,8.0,xuhaoming999,234
277,489,0.1,xuhaoming999,9
278,8,0.5,xuhaoming999,3286
279,0,100.0,xuhaoming999,35740
280,0,100.0,xuhaoming999,35740
281,256,0.1,xuhaoming999,86
282,0.52,5.0,xuhaoming999,1563
283,0,100.0,xuhaoming999,29008
284,0,100.0,xuhaoming999,29063
285,18,4.2,xuhaoming999,1574
286,64,0.4,xuhaoming999,10247
287,15,0.5,xuhaoming999,862
288,9,0.1,xuhaoming999,47
289,0,100.0,xuhaoming999,0
290,7,1.7,xuhaoming999,30361
291,2048.41,1.7,xuhaoming999,5031
292,2048.41,1.7,xuhaoming999,5031
293,1434.12,10.0,xuhaoming999,509
294,2168,0.1,xuhaoming999,8
295,267071.9,0.1,xuhaoming999,178
296,192818,0.1,xuhaoming999,972
297,459889.9,0.1,xuhaoming999,387
298,2934.86,7.0,xuhaoming999,302
299,2118.88,15.0,xuhaoming999,6600
300,472.99,0.6,xuhaoming999,2052
301,66,1.9,xuhaoming999,17214
302,0,100.0,xuhaoming999,1
303,283,0.1,xuhaoming999,378
304,51726.34,0.1,xuhaoming999,97
305,0,100.0,xuhaoming999,1
306,6.54,2.5,TyLoo_Kim,347
307,23.91,6.0,TyLoo_Kim,610
308,107513.3,0.1,TyLoo_Kim,842
309,92,0.3,TyLoo_Kim,3506
310,22,0.1,TyLoo_Kim,6
311,0.51,12.0,TyLoo_Kim,4125
312,43,0.1,TyLoo_Kim,187
313,46.74,15.0,TyLoo_Kim,1391
314,70,0.6,TyLoo_Kim,6874
315,2616,0.1,TyLoo_Kim,6
316,2616.28,0.1,TyLoo_Kim,15
317,3,0.2,TyLoo_Kim,0
318,538.6,3.8,TyLoo_Kim,360
319,2.66,1.2,TyLoo_Kim,373
320,0.5,73.0,TyLoo_Kim,83617
321,4.98,4.3,TyLoo_Kim,324
322,3631.48,21.0,TyLoo_Kim,7454
323,0,100.0,TyLoo_Kim,1
324,0.02,11.0,TyLoo_Kim,23181
325,0.01,14.0,TyLoo_Kim,34580
326,1168.62,21.0,TyLoo_Kim,3607
327,0.47,15.0,TyLoo_Kim,1391
328,458,0.1,TyLoo_Kim,8
329,15,0.1,TyLoo_Kim,458
330,1,16.0,TyLoo_Kim,10833
331,1,16.0,TyLoo_Kim,10833
332,245,0.1,TyLoo_Kim,82
333,0.53,4.9,TyLoo_Kim,1378
334,1,13.0,TyLoo_Kim,9091
335,2,2.7,TyLoo_Kim,3451
336,87,0.1,TyLoo_Kim,287
337,87,0.2,TyLoo_Kim,2416
338,15,0.5,TyLoo_Kim,862
339,4,1.0,TyLoo_Kim,802
340,0,100.0,TyLoo_Kim,0
341,6,4.1,TyLoo_Kim,30361
342,1998,2.8,TyLoo_Kim,7993
343,1998,2.8,TyLoo_Kim,7993
344,1168.62,21.0,TyLoo_Kim,4693
345,2150,0.1,TyLoo_Kim,6
346,189790.9,0.1,TyLoo_Kim,660
347,144305,0.1,TyLoo_Kim,1644
348,334095.9,0.1,TyLoo_Kim,941
349,2062.95,20.0,TyLoo_Kim,5150
350,1568.53,24.0,TyLoo_Kim,13783
351,430.29,0.9,TyLoo_Kim,3126
352,46,4.6,TyLoo_Kim,30785
353,0,100.0,TyLoo_Kim,1
354,296,0.1,TyLoo_Kim,275
355,49550.93,0.1,TyLoo_Kim,106
356,0,100.0,TyLoo_Kim,1
357,29.17,0.1,G-6-222449-,7
358,79.31,1.3,G-6-222449-,3
359,46207.4,0.8,G-6-222449-,10072
360,29,6.0,G-6-222449-,40563
361,23,0.1,G-6-222449-,3
362,0.92,7.0,G-6-222449-,1473
363,25,0.1,G-6-222449-,872
364,86.21,6.0,G-6-222449-,10
365,6,42.0,G-6-222449-,90100
366,2596,0.1,G-6-222449-,2
367,2596.46,0.1,G-6-222449-,17
368,2,0.2,G-6-222449-,0
369,619.27,2.5,G-6-222449-,191
370,4.52,0.3,G-6-222449-,49
371,0.62,67.0,G-6-222449-,79274
372,6.03,2.6,G-6-222449-,125
373,7698.68,1.5,G-6-222449-,72
374,0,100.0,G-6-222449-,1
375,0.03,10.0,G-6-222449-,16209
376,0,100.0,G-6-222449-,35740
377,1593.36,7.0,G-6-222449-,85
378,0.86,6.0,G-6-222449-,10
